#{"t_start": 1684242043.0117364, "env_id": null}
r,l,t
29.0,1501,51.997116
-1.0,1501,54.443499
-21.0,1501,57.231723
-65.0,1501,59.680038
55.0,1501,62.502452
-39.0,1501,113.835814
-69.0,1501,116.435232
-31.0,1501,119.240052
-29.0,1501,121.890407
-63.0,1501,124.328459
95.0,1501,176.023178
-9.0,1501,178.463099
73.0,1501,181.100516
95.0,1501,183.743772
39.0,1501,186.405886
215.0,1501,238.101488
65.0,1501,240.688253
237.0,1501,243.260456
134.0,1501,245.843935
160.0,1501,248.155067
226.0,1501,299.586377
232.0,1501,302.008128
195.0,1501,304.429532
162.0,1501,306.536584
198.0,1501,308.930536
264.0,1501,360.402043
272.0,1501,362.875357
233.0,1501,365.353598
261.0,1501,367.811373
312.0,1501,370.050696
194.0,1501,421.219633
207.0,1501,423.647704
221.0,1501,426.102163
163.0,1501,428.195406
139.0,1501,430.612039
343.0,1501,482.786343
369.0,1501,485.046084
331.0,1501,487.708321
312.0,1501,489.960068
300.0,1501,492.589402
313.0,1501,544.707937
310.0,1501,547.269557
269.0,1501,549.847157
277.0,1501,552.08414
339.0,1501,554.64096
289.0,1501,606.876619
272.0,1501,609.103101
264.0,1501,611.716614
280.0,1501,614.389452
247.0,1501,616.609842
