#{"t_start": 1684675880.7386494, "env_id": null}
r,l,t
250.596741,1501,257.159777
93.297394,1501,259.724409
291.296692,1501,261.997817
259.896698,1501,264.584911
224.096619,1501,267.173491
218.997314,1501,528.106731
277.797424,1501,530.420223
315.497803,1501,533.211414
280.697357,1501,535.52375
301.697876,1501,538.338105
222.097198,1501,798.16065
238.49707,1501,800.471361
284.697205,1501,803.338506
231.097107,1501,805.660428
277.597412,1501,808.53228
344.797546,1501,1062.967347
164.697693,1501,1065.913825
263.797119,1501,1068.121672
285.397369,1501,1070.355131
198.99762,1501,1073.30258
245.49649,1501,1323.579135
254.996338,1501,1325.826834
222.796143,1501,1328.051991
184.196106,1501,1330.80338
251.396454,1501,1333.032843
270.996338,1501,1581.072737
216.496399,1501,1583.957319
239.296112,1501,1586.170004
262.396454,1501,1589.065866
214.796387,1501,1591.269778
181.796021,1501,1838.676006
239.496338,1501,1840.910496
278.596527,1501,1843.930585
255.596741,1501,1846.206587
198.096466,1501,1848.441006
268.996155,1501,2095.184966
230.896606,1501,2097.405515
187.996094,1501,2100.770603
205.496124,1501,2102.961203
268.696686,1501,2105.159406
244.396118,1501,2350.724438
184.496124,1501,2352.917791
243.696594,1501,2355.125563
153.99649,1501,2358.579343
201.59613,1501,2360.770113
244.296295,1501,2605.952161
256.496216,1501,2609.133234
241.996429,1501,2611.364388
172.496155,1501,2613.613153
277.39621,1501,2616.769699
