#{"t_start": 1684669142.534788, "env_id": null}
r,l,t
-5.0,1501,28.039852
9.0,1501,30.700054
-3.0,1501,33.343769
113.0,1501,35.991017
-41.0,1501,38.448756
119.154083,1501,65.72208
129.654465,1501,68.081021
161.204224,1501,70.619413
161.603027,1501,72.861042
114.153992,1501,75.438793
174.553253,1501,102.495771
135.953094,1501,104.951498
169.053589,1501,107.381789
181.003632,1501,109.794996
170.352509,1501,112.247614
194.653717,1501,139.857136
188.953735,1501,142.470566
155.003189,1501,144.693646
122.753632,1501,147.088469
181.253723,1501,149.47024
247.753784,1501,177.114482
203.703613,1501,179.336399
223.903351,1501,181.775427
206.203705,1501,184.219021
216.153717,1501,186.665504
160.35321,1501,213.758266
218.35379,1501,216.191122
187.102997,1501,218.650615
221.403717,1501,221.091811
207.603546,1501,223.544908
216.553284,1501,251.043934
204.603333,1501,253.286082
216.853302,1501,255.78636
214.303253,1501,258.293677
209.803284,1501,260.827696
250.703644,1501,288.142677
264.003723,1501,290.662045
212.503387,1501,292.915858
233.053131,1501,295.407012
204.402527,1501,297.908636
247.052856,1501,325.48881
240.953186,1501,327.807271
247.003021,1501,330.386064
210.403046,1501,332.94743
216.502838,1501,335.222632
268.452789,1501,362.913934
166.702759,1501,365.563277
237.203308,1501,367.810244
224.053345,1501,370.347526
223.802917,1501,372.925449
