#{"t_start": 1683672382.3987017, "env_id": null}
r,l,t
92.0,1501,41.976636
125.0,1501,44.21728
97.0,1501,46.4601
86.0,1501,49.403075
102.0,1501,51.701648
249.0,1501,91.120077
206.0,1501,92.854173
173.0,1501,95.196733
233.0,1501,96.931334
210.0,1501,99.308534
186.0,1501,138.469412
182.0,1501,140.790449
217.0,1501,142.447661
236.0,1501,144.100821
229.0,1501,146.42113
267.0,1501,186.108794
306.0,1501,187.91193
299.0,1501,190.448924
239.0,1501,192.18162
256.0,1501,194.588523
296.0,1501,233.396298
258.0,1501,235.108776
253.0,1501,236.819934
200.0,1501,239.272585
273.0,1501,240.99268
250.0,1501,279.533451
270.0,1501,281.97045
355.0,1501,283.773924
286.0,1501,285.551158
289.0,1501,288.003233
279.0,1501,328.30326
299.0,1501,330.482888
316.0,1501,333.047162
327.0,1501,336.480215
302.0,1501,338.215315
385.0,1501,376.990515
310.0,1501,379.662511
284.0,1501,381.479075
313.0,1501,383.305503
281.0,1501,386.017752
303.0,1501,425.638184
302.0,1501,427.475156
300.0,1501,430.133604
412.0,1501,432.004506
314.0,1501,433.858377
275.0,1501,476.532822
224.0,1501,478.333978
232.0,1501,480.149367
258.0,1501,482.868658
288.0,1501,484.710251
