#{"t_start": 1684071620.224268, "env_id": null}
r,l,t
63.0,1501,3.975704
-31.0,1501,6.664675
89.0,1501,9.314236
-83.0,1501,11.992336
3.0,1501,14.633877
-97.0,1501,17.573872
37.0,1501,20.219538
-27.0,1501,23.035804
23.0,1501,25.718461
125.0,1501,28.379667
11.0,1501,31.374175
-53.0,1501,34.061059
-53.0,1501,36.736919
-69.0,1501,39.411095
61.0,1501,42.086851
33.0,1501,44.954014
31.0,1501,47.624183
97.0,1501,50.279563
11.0,1501,52.944204
-53.0,1501,55.765423
27.0,1501,58.635534
-93.0,1501,61.353849
-63.0,1501,64.05425
173.0,1501,66.750555
-33.0,1501,69.452723
