#{"t_start": 1683674533.591868, "env_id": null}
r,l,t
130.0,1501,62.191486
103.0,1501,64.974488
192.0,1501,67.818169
123.0,1501,71.594133
149.0,1501,74.402927
330.0,1501,133.012999
304.0,1501,134.895393
241.0,1501,136.72261
407.0,1501,139.413051
277.0,1501,141.200923
222.0,1501,198.284803
343.0,1501,200.950653
244.0,1501,202.660343
277.0,1501,204.363121
290.0,1501,207.019099
346.0,1501,268.278116
327.0,1501,270.131654
269.0,1501,271.994184
350.0,1501,274.749951
293.0,1501,276.585854
304.0,1501,336.370054
319.0,1501,338.191109
355.0,1501,340.017931
319.0,1501,342.906227
351.0,1501,344.74301
204.0,1501,403.060017
218.0,1501,405.761933
253.0,1501,407.443293
242.0,1501,409.126554
205.0,1501,411.824689
257.0,1501,469.149328
204.0,1501,470.863526
255.0,1501,473.556606
205.0,1501,475.237534
227.0,1501,476.953603
205.0,1501,531.553523
238.0,1501,535.113958
189.0,1501,537.519933
215.0,1501,539.948399
195.0,1501,542.393209
237.0,1501,599.938549
207.0,1501,602.705274
208.0,1501,604.418888
248.0,1501,606.139522
214.0,1501,608.904062
372.0,1501,669.024243
261.0,1501,672.041553
273.0,1501,673.857306
320.0,1501,675.689746
310.0,1501,677.501052
