#{"t_start": 1683679805.0124605, "env_id": null}
r,l,t
-115.0,1501,56.641773
59.0,1501,58.639864
-59.0,1501,61.542945
9.0,1501,63.537155
-71.0,1501,65.533927
125.0,1501,124.688092
-59.0,1501,126.672765
-15.0,1501,128.658746
-13.0,1501,131.59921
43.0,1501,133.581658
-41.0,1501,189.902896
77.0,1501,192.932682
71.0,1501,194.919441
-45.0,1501,196.916312
39.0,1501,198.906532
0.0,1501,255.216331
0.0,1501,256.68411
0.0,1501,258.139978
0.0,1501,259.596317
0.0,1501,262.019113
159.0,1501,318.143871
-39.0,1501,320.119651
69.0,1501,322.097034
95.0,1501,324.0741
13.0,1501,327.157819
0.0,1501,381.927083
0.0,1501,383.367725
0.0,1501,385.858286
0.0,1501,387.296294
0.0,1501,388.741226
0.0,1501,448.782237
0.0,1501,450.243093
0.0,1501,451.698975
0.0,1501,453.157058
0.0,1501,455.66825
0.0,1501,510.135106
0.0,1501,512.755067
0.0,1501,514.555756
0.0,1501,516.560595
0.0,1501,518.005125
0.0,1501,572.625641
0.0,1501,574.102512
0.0,1501,576.653692
0.0,1501,578.117515
0.0,1501,579.583575
0.0,1501,634.627105
0.0,1501,636.064466
0.0,1501,637.505176
0.0,1501,638.944878
0.0,1501,641.655451
