#{"t_start": 1684157829.773243, "env_id": null}
r,l,t
3.0,1501,99.31269
71.0,1501,102.113578
53.0,1501,104.737516
89.0,1501,107.163941
17.0,1501,109.75047
57.0,1501,209.342458
-41.0,1501,212.016744
105.0,1501,214.659996
93.0,1501,217.32729
19.0,1501,220.00045
29.0,1501,319.708093
-81.0,1501,322.387302
-125.0,1501,325.078628
-13.0,1501,327.796824
-165.0,1501,330.538932
0.0,1501,429.954395
0.0,1501,431.899013
0.0,1501,434.187361
0.0,1501,436.507505
0.0,1501,438.413838
0.0,1501,537.873323
0.0,1501,540.187212
0.0,1501,542.051223
0.0,1501,544.326214
0.0,1501,546.636793
0.0,1501,644.991959
0.0,1501,647.30308
0.0,1501,649.180817
0.0,1501,651.499633
0.0,1501,653.377471
0.0,1501,752.133085
0.0,1501,754.512595
0.0,1501,756.404297
0.0,1501,758.736762
0.0,1501,760.636272
0.0,1501,858.664963
0.0,1501,861.115538
0.0,1501,863.014579
0.0,1501,865.478997
0.0,1501,867.360115
178.0,1501,966.944004
169.0,1501,969.150678
169.0,1501,971.872297
151.0,1501,973.972239
205.0,1501,976.641237
223.0,1501,1077.201075
166.0,1501,1079.399016
272.0,1501,1082.369844
242.0,1501,1084.594667
191.0,1501,1086.769076
