#{"t_start": 1683679136.590829, "env_id": null}
r,l,t
306.0,1501,57.536648
307.0,1501,60.053114
268.0,1501,61.886847
295.0,1501,63.724977
337.0,1501,66.222064
380.0,1501,122.352161
301.0,1501,124.203731
348.0,1501,126.049237
260.0,1501,128.565031
241.0,1501,130.408014
346.0,1501,186.819362
317.0,1501,188.628998
354.0,1501,190.442549
267.0,1501,193.031025
290.0,1501,194.851296
296.0,1501,251.823847
341.0,1501,253.675128
370.0,1501,256.22942
342.0,1501,258.112339
328.0,1501,260.699172
272.0,1501,318.660579
310.0,1501,320.515038
262.0,1501,322.341095
341.0,1501,325.067455
341.0,1501,326.926569
346.0,1501,387.315506
327.0,1501,389.938691
307.0,1501,392.591361
324.0,1501,396.101866
352.0,1501,398.72666
249.0,1501,458.29859
322.0,1501,461.041787
295.0,1501,462.894578
319.0,1501,464.756194
364.0,1501,466.619975
307.0,1501,523.911907
271.0,1501,525.732072
361.0,1501,528.479053
370.0,1501,530.326182
324.0,1501,532.176219
273.0,1501,589.578108
284.0,1501,591.39693
279.0,1501,594.061657
376.0,1501,595.899517
324.0,1501,597.735333
300.0,1501,655.181073
314.0,1501,656.950102
257.0,1501,659.742976
292.0,1501,661.498526
408.0,1501,663.304835
