#{"t_start": 1684242666.0316532, "env_id": null}
r,l,t
43.0,1501,53.493988
1.0,1501,56.239365
-73.0,1501,59.101406
-95.0,1501,61.980885
111.0,1501,64.849073
216.0,1501,118.600104
213.0,1501,120.921849
233.0,1501,123.537772
301.0,1501,126.230992
258.0,1501,128.9014
382.0,1501,182.369105
250.0,1501,184.762476
262.0,1501,187.540767
299.0,1501,190.358751
271.0,1501,192.734952
265.0,1501,248.756757
300.0,1501,251.06573
237.0,1501,253.746955
253.0,1501,256.051614
259.0,1501,258.722349
152.0,1501,311.602938
236.0,1501,313.721265
213.0,1501,316.294597
213.0,1501,318.396582
191.0,1501,320.932892
330.0,1501,373.315848
274.0,1501,375.987572
341.0,1501,378.713537
298.0,1501,381.024903
315.0,1501,383.721945
247.0,1501,436.642125
322.0,1501,438.875629
310.0,1501,441.586466
342.0,1501,443.808222
266.0,1501,446.518723
351.0,1501,499.364547
300.0,1501,502.167174
273.0,1501,504.427759
303.0,1501,507.242392
361.0,1501,509.536595
379.0,1501,562.990819
289.0,1501,565.811469
303.0,1501,568.125674
242.0,1501,570.929256
385.0,1501,573.222166
380.0,1501,626.299978
300.0,1501,629.152561
403.0,1501,631.432161
225.0,1501,633.685
321.0,1501,636.501323
