#{"t_start": 1683287749.4469004, "env_id": null}
r,l,t
0.0,501,1.883555
0.0,516,2.523946
0.0,531,3.336241
0.0,547,4.018161
0.0,563,4.709793
0.0,580,5.790905
0.0,598,6.530235
0.0,615,7.421768
0.0,634,8.211389
0.0,653,9.176132
0.0,672,10.341818
0.0,693,11.20604
0.0,713,12.247717
0.0,735,13.167821
0.0,757,14.268435
0.0,779,15.428792
0.0,803,16.594043
0.0,827,17.661742
0.0,852,18.89782
0.0,877,20.170053
0.0,904,21.511259
0.0,931,22.825904
0.0,959,24.242033
0.0,987,25.495877
0.0,1017,26.912257
