#{"t_start": 1685608787.1517973, "env_id": null}
r,l,t
-99.200001,3865,8.446977
-99.000004,1762,11.447965
-99.800003,5861,21.668513
-99.800007,3900,28.572266
-99.400009,4207,35.945056
-99.500002,1516,38.647882
-99.900003,3092,44.128644
-99.200001,2519,48.453495
-99.500002,6058,59.62399
-99.300005,1371,62.081228
-100.0,3058,67.940131
-100.0,2054,71.827445
-100.0,1844,75.130381
-100.0,3706,81.495375
-100.0,6218,92.401662
-100.0,3018,98.053431
-100.0,2098,101.930034
-100.0,2894,106.97333
-100.0,6422,118.17978
-100.0,2962,123.388119
-100.0,3244,129.531983
-100.0,2108,133.216026
-100.0,3426,139.162444
-100.0,2264,143.329908
-100.0,5218,152.704625
