#{"t_start": 1683670206.8584042, "env_id": null}
r,l,t
103.0,1501,22.2513
61.0,1501,24.489172
-53.0,1501,26.479328
-9.0,1501,28.683113
29.0,1501,31.160684
-51.0,1501,54.552719
-7.0,1501,56.799488
-81.0,1501,58.788904
21.0,1501,60.982261
69.0,1501,63.18904
-49.0,1501,83.424156
-31.0,1501,85.697478
-55.0,1501,87.68081
125.0,1501,89.924806
39.0,1501,92.180151
73.0,1501,113.25143
57.0,1501,116.165302
-55.0,1501,119.351695
31.0,1501,122.485187
17.0,1501,125.694014
49.0,1501,147.123517
-39.0,1501,149.410278
31.0,1501,151.7526
15.0,1501,153.733759
53.0,1501,156.027606
-5.0,1501,176.005378
5.0,1501,178.305637
-83.0,1501,180.609672
87.0,1501,182.603062
63.0,1501,184.887885
35.0,1501,204.739634
-15.0,1501,207.063989
-11.0,1501,209.04979
25.0,1501,211.341223
-65.0,1501,213.688529
-15.0,1501,233.635697
-63.0,1501,235.898205
-77.0,1501,238.185541
-71.0,1501,240.525803
-19.0,1501,242.508803
0.0,1501,263.310312
0.0,1501,264.749083
0.0,1501,266.51896
0.0,1501,268.315342
0.0,1501,269.752343
81.0,1501,290.313485
9.0,1501,292.74093
41.0,1501,296.033631
11.0,1501,298.24923
-75.0,1501,300.576937
