#{"t_start": 1683643995.3177733, "env_id": null}
r,l,t
37.0,1501,27.544639
21.0,1501,29.962338
-77.0,1501,32.815274
-45.0,1501,35.69986
45.0,1501,38.151971
234.0,1501,65.769633
197.0,1501,68.788183
242.0,1501,71.291589
298.0,1501,74.178133
345.0,1501,76.572177
218.0,1501,104.336793
235.0,1501,106.968558
362.0,1501,109.231622
244.0,1501,112.140498
255.0,1501,114.534146
288.0,1501,143.178579
219.0,1501,145.817586
245.0,1501,148.064846
246.0,1501,150.705683
276.0,1501,152.840804
286.0,1501,180.491104
304.0,1501,182.692432
287.0,1501,185.464385
296.0,1501,188.601191
263.0,1501,191.480953
364.0,1501,225.129417
330.0,1501,227.445408
306.0,1501,230.251155
309.0,1501,232.732498
231.0,1501,235.409003
298.0,1501,263.61947
298.0,1501,265.816356
286.0,1501,268.496259
255.0,1501,270.693205
232.0,1501,273.340044
281.0,1501,300.15284
327.0,1501,302.841069
276.0,1501,305.010974
298.0,1501,307.680523
279.0,1501,309.904492
258.0,1501,337.379963
286.0,1501,340.074428
257.0,1501,342.21381
336.0,1501,345.024965
257.0,1501,347.203211
267.0,1501,374.829572
284.0,1501,377.502294
229.0,1501,379.757579
247.0,1501,382.601747
263.0,1501,384.783871
