#{"t_start": 1684241837.3281288, "env_id": null}
r,l,t
0.0,1501,5.336293
0.0,1501,7.358295
0.0,1501,9.38654
0.0,1501,11.584275
0.0,1501,13.652809
-71.0,1501,18.579355
-103.0,1501,21.310947
19.0,1501,23.909041
71.0,1501,26.510787
93.0,1501,29.112144
-31.0,1501,34.012711
-15.0,1501,36.582653
-25.0,1501,39.317569
1.0,1501,41.906577
41.0,1501,44.510292
47.0,1501,49.37591
-43.0,1501,51.9283
13.0,1501,54.664273
-95.0,1501,57.275999
-7.0,1501,59.856928
-37.0,1501,64.914514
-127.0,1501,67.50522
-59.0,1501,70.103591
31.0,1501,72.513384
-11.0,1501,75.254386
23.0,1501,80.118194
3.0,1501,82.850904
-29.0,1501,85.43277
117.0,1501,88.023697
27.0,1501,90.604237
73.0,1501,95.479926
-53.0,1501,98.034079
-19.0,1501,100.782164
49.0,1501,103.447821
147.0,1501,106.076116
17.0,1501,110.985144
85.0,1501,113.556775
-155.0,1501,116.299404
-49.0,1501,118.905684
-9.0,1501,121.501906
9.0,1501,126.388139
-1.0,1501,129.122718
1.0,1501,131.729414
-29.0,1501,134.360516
-37.0,1501,136.772539
25.0,1501,141.82031
-27.0,1501,144.608617
33.0,1501,147.020994
-83.0,1501,149.764024
3.0,1501,152.179276
