#{"t_start": 1683644716.0085917, "env_id": null}
r,l,t
119.0,1501,54.829901
27.0,1501,57.262018
3.0,1501,60.037044
3.0,1501,62.47945
-11.0,1501,65.230186
316.0,1501,118.846919
297.0,1501,121.130037
244.0,1501,123.724311
229.0,1501,125.925093
270.0,1501,128.464574
303.0,1501,180.779923
300.0,1501,182.967134
337.0,1501,185.481393
252.0,1501,188.031678
318.0,1501,190.200596
331.0,1501,243.766149
299.0,1501,245.966101
304.0,1501,248.513189
210.0,1501,251.071914
296.0,1501,253.239214
254.0,1501,306.395108
315.0,1501,309.037076
298.0,1501,311.190976
303.0,1501,313.789607
324.0,1501,315.944537
324.0,1501,369.667279
253.0,1501,372.321173
210.0,1501,374.505609
290.0,1501,377.083169
302.0,1501,379.306237
392.0,1501,433.187864
370.0,1501,436.04546
333.0,1501,438.297762
278.0,1501,441.08909
363.0,1501,443.358181
313.0,1501,499.062636
373.0,1501,501.382956
294.0,1501,504.151427
318.0,1501,506.3847
298.0,1501,509.181521
257.0,1501,564.194331
347.0,1501,567.069779
335.0,1501,569.597806
327.0,1501,572.669466
379.0,1501,575.115211
364.0,1501,629.436664
311.0,1501,632.217893
332.0,1501,634.452147
300.0,1501,637.279046
306.0,1501,639.489346
