#{"t_start": 1683676810.1480906, "env_id": null}
r,l,t
9.0,1501,20.24422
-27.0,1501,22.971952
65.0,1501,24.985453
-15.0,1501,26.984693
87.0,1501,29.67641
-89.0,1501,50.098764
11.0,1501,52.102322
41.0,1501,54.817024
-1.0,1501,56.81711
1.0,1501,58.814972
85.0,1501,79.530982
71.0,1501,82.251124
55.0,1501,84.239278
-55.0,1501,86.233678
-9.0,1501,88.963438
-13.0,1501,112.005289
25.0,1501,114.688022
-5.0,1501,116.700379
29.0,1501,119.435787
99.0,1501,121.438775
27.0,1501,143.000542
-19.0,1501,145.008015
-47.0,1501,147.785133
-27.0,1501,149.798381
-27.0,1501,151.803318
15.0,1501,172.924793
69.0,1501,174.914718
21.0,1501,177.635266
-61.0,1501,179.6337
-35.0,1501,181.633906
-31.0,1501,202.395864
-55.0,1501,205.199944
1.0,1501,207.205774
15.0,1501,209.211931
-69.0,1501,212.011292
39.0,1501,232.381713
53.0,1501,235.14529
37.0,1501,237.150856
3.0,1501,239.16057
-45.0,1501,241.8943
-139.0,1501,262.536367
-15.0,1501,265.338582
155.0,1501,267.333797
-11.0,1501,269.333522
51.0,1501,272.11292
7.0,1501,292.054919
9.0,1501,294.874495
37.0,1501,296.870252
61.0,1501,298.87665
21.0,1501,301.762442
