#{"t_start": 1683671891.0032632, "env_id": null}
r,l,t
95.0,1501,38.071383
7.0,1501,40.064555
93.0,1501,42.494254
49.0,1501,44.995633
-9.0,1501,46.991679
243.0,1501,88.992604
318.0,1501,91.346539
350.0,1501,93.192884
317.0,1501,95.507173
267.0,1501,97.346606
307.0,1501,136.579203
275.0,1501,138.307488
252.0,1501,140.528456
318.0,1501,142.271401
331.0,1501,144.537571
236.0,1501,182.758973
286.0,1501,185.007231
340.0,1501,186.74574
255.0,1501,188.98223
258.0,1501,190.708337
307.0,1501,230.10228
329.0,1501,231.910914
298.0,1501,233.660354
239.0,1501,235.946857
236.0,1501,237.671271
277.0,1501,276.936604
252.0,1501,279.274623
245.0,1501,281.050813
318.0,1501,283.431034
307.0,1501,285.212216
269.0,1501,330.019451
293.0,1501,332.720837
277.0,1501,336.035216
310.0,1501,338.688645
386.0,1501,342.104163
300.0,1501,384.541575
276.0,1501,386.292222
256.0,1501,388.755845
299.0,1501,390.511914
295.0,1501,392.936597
300.0,1501,431.732397
293.0,1501,433.468401
299.0,1501,435.874753
330.0,1501,437.673274
283.0,1501,440.108331
251.0,1501,478.582939
294.0,1501,480.314682
368.0,1501,482.801294
363.0,1501,484.540003
296.0,1501,486.280744
