UCB_1.5: differenc: 0.0864575736290033, ratio: 0.7968666716677787
UCB_3: differenc: 0.16374392056487508, ratio: 0.6476194773192059
UCB_6: differenc: 0.08523756549561573, ratio: 0.7997330985442815
scalar_1.5: differenc: 0.09457619721400268, ratio: 0.6858586704303519
scalar_3: differenc: 0.24713086831834288, ratio: 0.4639696659010591
scalar_6: differenc: 0.1956271758852261, ratio: 0.6350303568837302
visit_count_1.5: differenc: 0.15464431313446064, ratio: 0.580516466853841
visit_count_3: differenc: 0.3193476117336519, ratio: 0.2917632280905874
visit_count_6: differenc: 0.263880053179103, ratio: 0.39674384603859575
