UCB_1.5: differenc: 0.11153035720487392, ratio: 0.8764070485575296
UCB_3: differenc: 0.1585961760275043, ratio: 0.818144005737415
UCB_6: differenc: 0.18310416769694382, ratio: 0.7970921543314722
scalar_1.5: differenc: 0.203544145233302, ratio: 0.7401629374339008
scalar_3: differenc: 0.2302230007782894, ratio: 0.7229145553687941
scalar_6: differenc: 0.15540087661977564, ratio: 0.8358284471506704
visit_count_1.5: differenc: 0.19755869538671122, ratio: 0.7524976482299356
visit_count_3: differenc: 0.3530896069806936, ratio: 0.5757916353012092
visit_count_6: differenc: 0.23947132820843497, ratio: 0.7149564843763283
