#{"t_start": 1684085862.6307464, "env_id": null}
r,l,t
353.0,1501,153.685493
276.0,1501,155.877084
298.0,1501,158.081474
318.0,1501,161.442018
306.0,1501,163.635346
190.0,1501,314.875551
175.0,1501,318.129045
174.0,1501,320.197692
183.0,1501,322.270859
222.0,1501,324.333464
149.0,1501,473.039305
152.0,1501,476.361415
134.0,1501,478.360084
147.0,1501,480.370048
171.0,1501,482.370743
270.0,1501,630.965744
301.0,1501,633.136199
297.0,1501,636.624717
295.0,1501,638.773465
292.0,1501,640.933952
249.0,1501,793.2379
314.0,1501,795.417002
305.0,1501,797.574445
324.0,1501,799.736611
348.0,1501,801.923712
269.0,1501,957.390322
262.0,1501,959.647539
346.0,1501,961.902503
337.0,1501,964.170173
291.0,1501,967.938455
266.0,1501,1121.202955
234.0,1501,1123.481428
311.0,1501,1127.317083
277.0,1501,1129.622028
299.0,1501,1131.90694
282.0,1501,1284.828386
246.0,1501,1286.961052
334.0,1501,1290.925055
277.0,1501,1293.096297
330.0,1501,1295.256263
365.0,1501,1444.947587
348.0,1501,1447.20322
288.0,1501,1451.224246
304.0,1501,1453.471568
332.0,1501,1455.707642
296.0,1501,1606.122684
253.0,1501,1609.841833
246.0,1501,1612.00016
266.0,1501,1614.187462
216.0,1501,1616.352988
