#{"t_start": 1684952718.8875666, "env_id": null}
r,l,t
674.897339,10001,138.304393
941.103027,10001,154.41731
928.013794,10001,169.472928
589.578003,10001,184.711809
799.512817,10001,200.500895
253.755402,10001,338.326082
244.055115,10001,353.464183
260.155914,10001,368.993952
191.155609,10001,384.209332
253.554413,10001,399.328145
983.904419,10001,537.622036
793.195496,10001,553.264448
900.993408,10001,569.231047
872.085205,10001,585.385421
704.479797,10001,601.10521
968.608887,10001,741.551468
1038.009155,10001,757.865189
726.888489,10001,772.921916
920.395752,10001,788.061365
746.306885,10001,804.125369
867.997375,10001,945.246401
735.097656,10001,961.366056
854.312561,10001,977.700615
840.893066,10001,993.37121
1083.806763,10001,1009.144912
1053.108154,10001,1149.60451
804.508789,10001,1165.155093
869.006714,10001,1181.687188
806.503906,10001,1197.846955
1069.699341,10001,1214.144256
1104.191284,10001,1354.71867
802.2005,10001,1370.012831
1007.500488,10001,1386.717795
753.398071,10001,1402.075439
714.980103,10001,1417.380904
722.098633,10001,1556.860585
1082.107056,10001,1572.569123
1073.90332,10001,1588.428539
835.395691,10001,1603.996643
790.60321,10001,1619.688397
859.708252,10001,1762.13296
969.003052,10001,1777.427413
828.500793,10001,1794.349805
1157.30603,10001,1810.709753
743.990479,10001,1826.880569
463.364441,10001,1969.24636
893.082153,10001,1984.549042
618.802551,10001,2000.77316
1131.606689,10001,2016.070353
975.514282,10001,2032.314959
