#{"t_start": 1683285538.8071454, "env_id": null}
r,l,t
59.0,501,4.101825
-6.0,516,4.926868
47.0,531,5.773273
21.0,547,6.809968
5.0,563,7.708932
4.0,580,11.145084
20.0,598,12.263523
19.0,615,13.269492
24.0,634,14.449398
7.0,653,15.514714
2.0,672,19.10835
61.0,693,20.21558
109.0,713,21.535957
11.0,735,22.762619
25.0,757,24.145843
47.0,779,27.828667
-11.0,803,29.282663
-1.0,827,30.819777
36.0,852,32.198378
-17.0,877,33.765719
54.0,904,37.539858
39.0,931,39.178081
21.0,959,40.875677
25.0,987,42.477453
-17.0,1017,44.295723
-43.0,1047,48.503326
37.0,1079,50.399812
9.0,1111,52.34015
16.0,1144,54.171371
-27.0,1179,56.231769
96.0,1214,60.729769
41.0,1251,62.956616
60.0,1288,65.236947
3.0,1327,67.592103
-50.0,1366,69.826641
63.0,1407,74.670356
-12.0,1450,77.35976
-47.0,1493,79.949566
-92.0,1538,82.584007
42.0,1584,85.329285
-2.0,1632,90.641558
28.0,1680,93.542334
-87.0,1731,96.533595
-135.0,1783,99.609622
20.0,1836,102.780591
-39.0,1891,108.496204
38.0,1948,111.980231
18.0,2006,115.390333
35.0,2067,118.942073
-83.0,2129,122.790729
