#{"t_start": 1684169516.9352098, "env_id": null}
r,l,t
350.0,1501,71.39697
294.0,1501,73.239327
264.0,1501,75.400427
248.0,1501,77.175722
351.0,1501,79.177177
314.0,1501,150.863224
368.0,1501,152.901695
254.0,1501,154.90756
365.0,1501,156.935758
352.0,1501,159.010986
322.0,1501,232.940142
329.0,1501,235.049351
383.0,1501,237.137815
356.0,1501,239.239037
272.0,1501,241.076792
278.0,1501,314.731308
240.0,1501,316.952865
304.0,1501,318.75468
298.0,1501,320.953242
226.0,1501,322.75651
293.0,1501,395.969474
327.0,1501,398.224692
313.0,1501,400.447183
311.0,1501,402.247233
236.0,1501,404.474361
272.0,1501,478.571117
300.0,1501,480.414152
321.0,1501,482.673636
323.0,1501,484.501336
321.0,1501,486.745775
308.0,1501,560.990607
341.0,1501,562.820296
315.0,1501,565.099325
371.0,1501,566.950047
368.0,1501,569.243487
357.0,1501,642.359526
330.0,1501,644.17918
289.0,1501,645.97463
238.0,1501,648.3472
297.0,1501,650.168272
353.0,1501,723.97496
292.0,1501,725.809628
309.0,1501,728.183103
316.0,1501,730.017829
205.0,1501,732.410049
291.0,1501,805.337187
283.0,1501,807.910411
246.0,1501,809.695616
339.0,1501,811.519797
313.0,1501,814.082446
