#{"t_start": 1684073632.3880951, "env_id": null}
r,l,t
360.0,1501,163.212744
350.0,1501,165.609591
288.0,1501,168.608902
298.0,1501,170.966936
302.0,1501,173.949826
331.0,1501,336.359319
307.0,1501,339.385191
222.0,1501,341.662666
322.0,1501,344.669428
297.0,1501,346.986952
292.0,1501,506.24269
323.0,1501,508.508107
275.0,1501,511.553507
257.0,1501,513.830349
264.0,1501,516.093287
355.0,1501,678.15271
311.0,1501,680.500601
334.0,1501,683.647067
331.0,1501,685.989594
322.0,1501,689.170968
302.0,1501,849.421666
267.0,1501,852.706563
331.0,1501,855.03512
286.0,1501,857.404866
347.0,1501,860.72749
275.0,1501,1021.721319
317.0,1501,1024.076431
297.0,1501,1026.402997
254.0,1501,1029.692559
405.0,1501,1032.035533
284.0,1501,1193.694929
280.0,1501,1196.065661
272.0,1501,1199.402345
234.0,1501,1201.748385
193.0,1501,1204.100447
255.0,1501,1365.808921
317.0,1501,1369.374207
289.0,1501,1371.686701
341.0,1501,1374.037362
276.0,1501,1376.375508
313.0,1501,1539.104722
289.0,1501,1541.444255
336.0,1501,1545.008008
331.0,1501,1547.416475
372.0,1501,1549.770866
242.0,1501,1711.760963
333.0,1501,1714.242287
294.0,1501,1716.79828
338.0,1501,1720.342333
305.0,1501,1722.92916
